fold,n_test,brier_12h,ece_12h,cal_slope_12h,brier_24h,ece_24h,cal_slope_24h,brier_48h,ece_48h,cal_slope_48h,c_index_proxy,c_index_uno
1,45,0.11425224962996633,0.12601140056060536,0.5581468614123263,0.0630144653904782,0.08252866487924779,0.758529575883536,0.01639956293677715,0.05000444070579717,5.156610976860665,0.9205702647657841,0.9245186348092607
2,44,0.030674002631549725,0.0474997758977847,2.0843659293206667,0.029107747650286554,0.05508472658539275,48.057859874802936,0.05704717916960972,0.061795882079956406,5.23026701339525,0.948394495412844,0.948966740003215
3,44,0.030976516216092872,0.07596771794385576,1.8927520142060832,0.029096519677741517,0.05604449978138722,1.0951238237810066,0.031127816658232055,0.05291315351892584,0.9963772590091308,0.9560878243512974,0.95410466641449
4,44,0.06770130335669465,0.10356915131800869,0.7848270630576584,0.02379972410763717,0.03485806910148724,1.5119425996462044,0.027571930840129058,0.04811601724641022,21.98641254481957,0.9581589958158996,0.9575925968310279
5,44,0.056060961463651415,0.06912027434446706,0.9288103103554151,0.027846062040544104,0.02345326705096917,0.9517993812558693,0.000515672718799522,0.0163554603335326,2.849952618120083,0.9371069182389937,0.942136166058203
