model,c_index,c_index_uno,ibs,ibs_continuous
ETA-only (LR),0.9075024842663133,0.9097521009143121,0.04546532480012222,
Per-horizon XGBoost,0.9421165948989731,0.9431558263518148,0.039572473788968256,
Random Survival Forest,0.9395495197085127,0.9412468813004471,0.032103336971123976,
AFT Only,0.93839019542895,0.9396330278939253,0.038750268067351504,
Full Model,0.9398807552169592,0.9411045305085939,0.040625046444414635,
