config,brier_12h,ece_12h,mce_12h,cal_slope_12h,cal_intercept_12h,brier_24h,ece_24h,mce_24h,cal_slope_24h,cal_intercept_24h,brier_48h,ece_48h,mce_48h,cal_slope_48h,cal_intercept_48h,c_index,c_index_proxy,c_index_uno,ibs,ibs_proxy,ibs_continuous,delta_c_index,p_c_index,delta_ibs,p_ibs,delta_brier_12h,p_brier_12h,delta_brier_24h,p_brier_24h,delta_brier_48h,p_brier_48h
Full Model,0.060205070853781045,0.05736422419551136,0.5560525762937714,0.8053080842828173,0.2450558071997011,0.034737210724874644,0.014163049146717089,0.6513530230204821,0.9976641008250926,-0.06135650501242124,0.02693285775458822,0.031082258817738635,0.7768533837802436,1.075341033196707,-0.2717415564053844,0.9398807552169592,0.9398807552169592,0.9411045305085939,0.040625046444414635,0.040625046444414635,,0.0,,0.0,,,,,,,
AFT + Cox,0.0545516491672329,0.03415208210293933,0.8425316548323187,0.8997769378243143,0.06135604747577112,0.03506244677664693,0.01979923900775877,0.8664446716218192,0.8704800432609302,0.06217381877631448,0.026636708258174675,0.019390124007682807,0.844779246648837,1.015543486023565,-0.5385034456577749,0.9389284531301756,0.9389284531301756,0.9401891349983215,0.038750268067351504,0.038750268067351504,,0.001026017274003268,0.26,-0.0018512068723207245,0.805,-0.005753283469285751,0.961,0.000417868561998517,0.458,-0.00021820570967493878,0.502
AFT + Cox + Simple,0.0545516491672329,0.03415208210293933,0.8425316548323187,0.8997769378243143,0.06135604747577112,0.03497302728989871,0.014230936946473724,0.4803054929502033,1.0687370314325044,-0.16925074031244342,0.024908773427717423,0.024739212456620436,0.7151243288160447,1.2093836709473427,-0.5089894945732332,0.940833057303743,0.940833057303743,0.9417768080267848,0.038144483294949676,0.038144483294949676,,-0.0008918127476700228,0.762,-0.0024328936663597285,0.869,-0.005753283469285751,0.961,0.00038326552583725735,0.462,-0.0019286630556306912,0.722
AFT + Simple,0.0545516491672329,0.03415208210293933,0.8425316548323187,0.8997769378243143,0.06135604747577112,0.03497302728989871,0.014230936946473724,0.4803054929502033,1.0687370314325044,-0.16925074031244342,0.024908773427717423,0.024739212456620436,0.7151243288160447,1.2093836709473427,-0.5089894945732332,0.9409158661808545,0.9409158661808545,0.9419125911406875,0.038144483294949676,0.038144483294949676,,-0.0010227413840703538,0.765,-0.0024328936663597285,0.869,-0.005753283469285751,0.961,0.00038326552583725735,0.462,-0.0019286630556306912,0.722
AFT + Cox (thin),0.05792026702141693,0.022167443532436413,0.8303941835885944,0.8815764683193794,0.051142896904170246,0.034624602779954744,0.01646185954482939,0.8312758200953803,0.885600358606765,0.0639209376425711,0.024914485571667276,0.019408250579207406,0.44807285453270396,0.991906170169134,-0.38413811038348666,0.9389698575687314,0.9389698575687314,0.9402013729894676,0.03915311845767965,0.03915311845767965,,0.0008901859465824043,0.396,-0.001325590269290401,0.661,-0.002159709985984787,0.636,6.666986350839243e-05,0.5,-0.0018837306853948085,0.686
AFT + Cox + Simple (thin),0.05792026702141693,0.022167443532436413,0.8303941835885944,0.8815764683193794,0.051142896904170246,0.035271263060142596,0.027100118675291076,0.6017362775166275,1.0517498155411507,-0.14828271462381545,0.02465643433034715,0.014293649201189602,0.3859932837972331,1.1415533494072525,-0.36826019027924844,0.93839019542895,0.93839019542895,0.9395812863913758,0.03928265480396889,0.03928265480396889,,0.0014881318274191043,0.292,-0.001202447584484183,0.648,-0.002159709985984787,0.636,0.00071428827993313,0.436,-0.0021619210474008925,0.716
AFT + Simple (thin),0.05792026702141693,0.022167443532436413,0.8303941835885944,0.8815764683193794,0.051142896904170246,0.035271263060142596,0.027100118675291076,0.6017362775166275,1.0517498155411507,-0.14828271462381545,0.02465643433034715,0.014293649201189602,0.3859932837972331,1.1415533494072525,-0.36826019027924844,0.9382659821132825,0.9382659821132825,0.9393656813199834,0.03928265480396889,0.03928265480396889,,0.0015876997155656167,0.292,-0.001202447584484183,0.648,-0.002159709985984787,0.636,0.00071428827993313,0.436,-0.0021619210474008925,0.716
AFT Only (thin),0.05792026702141693,0.022167443532436413,0.8303941835885944,0.8815764683193794,0.051142896904170246,0.034624602779954744,0.01646185954482939,0.8312758200953803,0.885600358606765,0.0639209376425711,0.024914485571667276,0.019408250579207406,0.44807285453270396,0.991906170169134,-0.38413811038348666,0.93839019542895,0.93839019542895,0.9395389817287997,0.03915311845767965,0.03915311845767965,,0.0014270096402227645,0.333,-0.001325590269290401,0.661,-0.002159709985984787,0.636,6.666986350839243e-05,0.5,-0.0018837306853948085,0.686
