model,c_index,ibs,brier_12h,brier_24h,brier_48h,cal_slope_12h,cal_slope_24h,cal_slope_48h,ece_12h,ece_24h,ece_48h
ETA-only (LR),0.9075024842663133,0.04546532480012222,0.07016165695212852,0.03813157243670348,0.02810274501153465,1.0286560410543668,1.0708998352835433,1.0831875003963387,0.03312895184235626,0.027071510555436152,0.023268173624572713
AFT Only,0.93839019542895,0.038750268067351504,0.0545516491672329,0.03506244677664693,0.026636708258174675,0.8997769378243143,0.8704800432609302,1.015543486023565,0.03415208210293933,0.01979923900775877,0.019390124007682807
AFT + Cox,0.9389284531301756,0.038750268067351504,0.0545516491672329,0.03506244677664693,0.026636708258174675,0.8997769378243143,0.8704800432609302,1.015543486023565,0.03415208210293933,0.01979923900775877,0.019390124007682807
AFT + Cox + Simple,0.940833057303743,0.038144483294949676,0.0545516491672329,0.03497302728989871,0.024908773427717423,0.8997769378243143,1.0687370314325044,1.2093836709473427,0.03415208210293933,0.014230936946473724,0.024739212456620436
Per-horizon XGBoost,0.9421165948989731,0.039572473788968256,0.0557460872574086,0.03654491739514316,0.026426416714353005,1.1831524529757502,1.3369771152492598,1.7778087973431744,0.05071980682916419,0.02876340760849417,0.02676413649221858
Random Survival Forest,0.9395495197085127,0.032103336971123976,0.05077302235115497,0.027750133924554086,0.017786854637662875,1.6845012537381263,1.6196651669618833,1.8972627009476422,0.0320164927543636,0.025316667356822673,0.03517074331213932
Full Model (prototype),0.9398807552169592,0.040625046444414635,0.060205070853781045,0.034737210724874644,0.02693285775458822,0.8053080842828173,0.9976641008250926,1.075341033196707,0.05736422419551136,0.014163049146717089,0.031082258817738635
