horizon,n_eligible,brier,ECE,MCE,cal_slope,cal_intercept
12h,215,0.06277354356537876,0.05453588812984651,0.4653088311313651,0.5779609764318278,-0.0944425316790011
24h,196,0.03775939900553734,0.03866130209318218,0.7093396549883427,0.8363106704184918,-0.13538273412510105
48h,166,0.028036929472025355,0.027537218625755082,0.8556153775972972,0.9629336843029522,-0.21859020784403996
