threshold,nb_model,nb_treat_all,nb_treat_none,horizon
0.01,0.2268733850129199,0.22010805731735966,0.0,12h
0.02,0.22135738016136686,0.2121499762695776,0.0,12h
0.03,0.2203788060417166,0.20402781107648046,0.0,12h
0.04,0.2195736434108527,0.19573643410852715,0.0,12h
0.05,0.2186046511627907,0.18727050183598531,0.0,12h
0.060000000000000005,0.21761504205838694,0.17862444334487879,0.0,12h
0.06999999999999999,0.21660415103775943,0.16979244811202804,0.0,12h
0.08,0.21557128412537918,0.16076845298281092,0.0,12h
0.09,0.20986455405060056,0.15154612829031436,0.0,12h
0.09999999999999999,0.20878552971576228,0.14211886304909563,0.0,12h
0.11,0.20768225764306247,0.13247974915077085,0.0,12h
0.12,0.20655391120507402,0.12262156448202961,0.0,12h
0.13,0.20539962576851112,0.11253675487837476,0.0,12h
0.14,0.20497566252028124,0.10221741481882099,0.0,12h
0.15000000000000002,0.20465116279069767,0.09165526675786592,0.0,12h
0.16,0.2035437430786268,0.08084163898117386,0.0,12h
0.17,0.20336228635472123,0.06976744186046513,0.0,12h
0.18000000000000002,0.2032898468519569,0.05842314237095858,0.0,12h
0.19,0.20223944875107666,0.04679873672121737,0.0,12h
0.2,0.20116279069767443,0.034883720930232565,0.0,12h
0.21000000000000002,0.20005887547836326,0.02266705916985573,0.0,12h
0.22,0.20023852116875374,0.010137149672033385,0.0,12h
0.23,0.20054364240410752,-0.002718212020537597,0.0,12h
0.24000000000000002,0.19951040391676866,-0.01591187270501837,0.0,12h
0.25,0.19844961240310077,-0.029457364341085285,0.0,12h
0.26,0.194343180389692,-0.043368950345694574,0.0,12h
0.27,0.19330997132844854,-0.05766167569289585,0.0,12h
0.28,0.19224806201550387,-0.0723514211886305,0.0,12h
0.29000000000000004,0.19115623976416637,-0.08745496233213237,0.0,12h
0.3,0.19003322259136213,-0.10299003322259134,0.0,12h
0.31,0.18887765419615773,-0.11897539602291882,0.0,12h
0.32,0.18303693570451438,-0.13543091655266762,0.0,12h
0.33,0.17716070808746961,-0.15237764665046868,0.0,12h
0.34,0.17589852008456658,-0.16983791402396056,0.0,12h
0.35000000000000003,0.1771019677996422,-0.18783542039355997,0.0,12h
0.36000000000000004,0.17122093023255813,-0.20639534883720942,0.0,12h
0.37,0.16995201181247693,-0.22554448135843483,0.0,12h
0.38,0.16864216054013503,-0.245311327831958,0.0,12h
0.39,0.16728936332443767,-0.26572626763248186,0.0,12h
0.4,0.16434108527131783,-0.28682170542635665,0.0,12h
0.41000000000000003,0.16302719747733543,-0.3086322428064644,0.0,12h
0.42000000000000004,0.16166800320769847,-0.331194867682438,0.0,12h
0.43,0.1602611179110567,-0.3545491636066911,0.0,12h
0.44,0.15780730897009967,-0.37873754152823924,0.0,12h
0.45,0.1564482029598309,-0.40380549682875255,0.0,12h
0.46,0.15038759689922482,-0.429801894918174,0.0,12h
0.47000000000000003,0.1489249670908293,-0.4567792891619131,0.0,12h
0.48000000000000004,0.14740608228980323,-0.48479427549195,0.0,12h
0.49,0.1411764705882353,-0.5139078887368901,0.0,12h
0.5,0.13953488372093026,-0.5441860465116279,0.0,12h
0.51,0.1378262933080209,-0.5757000474608449,0.0,12h
0.52,0.13604651162790699,-0.6085271317829458,0.0,12h
0.53,0.13419099455714995,-0.6427511133102426,0.0,12h
0.54,0.13225480283114258,-0.6784630940343783,0.0,12h
0.55,0.13023255813953488,-0.7157622739018089,0.0,12h
0.56,0.13403805496828752,-0.754756871035941,0.0,12h
0.5700000000000001,0.13207138994050838,-0.7955651703623584,0.0,12h
0.5800000000000001,0.1300110741971207,-0.8383167220376527,0.0,12h
0.59,0.12785025524673854,-0.8831537152580827,0.0,12h
0.6,0.12558139534883722,-0.9302325581395349,0.0,12h
0.61,0.12319618366129995,-0.9797257006559331,0.0,12h
0.62,0.12068543451652387,-1.0318237454100367,0.0,12h
0.63,0.11803896920175992,-1.086737900691389,0.0,12h
0.64,0.11059431524547804,-1.1447028423772612,0.0,12h
0.65,0.10764119601328903,-1.205980066445183,0.0,12h
0.66,0.10451436388508892,-1.2708618331053354,0.0,12h
0.67,0.10119802677942212,-1.3396758280479215,0.0,12h
0.68,0.09767441860465115,-1.4127906976744187,0.0,12h
0.6900000000000001,0.09392348087021754,-1.4906226556639162,0.0,12h
0.7000000000000001,0.08992248062015501,-1.5736434108527135,0.0,12h
