horizon,pre_brier,post_joint_brier,post_12h_brier,pre_ece,post_joint_ece,post_12h_ece,pre_slope,post_joint_slope,post_12h_slope
12h,0.060205070853781045,0.057923541342615174,0.059150465432066805,0.05736422419551136,0.04777978346766793,0.047517359429884616,0.8053080842828173,0.9638960991759151,1.2085817153133893
24h,0.034737210724874644,0.03487339502112813,0.03486137314394266,0.014163049146717089,0.01028453290173505,0.018749289524078765,0.9976641008250926,1.0143018317666437,1.1057674742654928
48h,0.02693285775458822,0.02726804861567099,0.027039011384202578,0.031082258817738635,0.03075012986822713,0.03652624292227243,1.075341033196707,1.0517330102317213,1.1656781341885423
IBS,0.040625046444414635,0.040021661659804766,0.04035028332007068,,,,,,
