seed,model,brier_12h,ece_12h,mce_12h,cal_slope_12h,cal_intercept_12h,brier_24h,ece_24h,mce_24h,cal_slope_24h,cal_intercept_24h,brier_48h,ece_48h,mce_48h,cal_slope_48h,cal_intercept_48h,c_index,c_index_proxy,c_index_uno,ibs,ibs_proxy,ibs_continuous
42,Full Model,0.060205070853781045,0.05736422419551136,0.5560525762937714,0.8053080842828173,0.2450558071997011,0.034737210724874644,0.014163049146717089,0.6513530230204821,0.9976641008250926,-0.06135650501242124,0.02693285775458822,0.031082258817738635,0.7768533837802436,1.075341033196707,-0.2717415564053844,0.9398807552169592,0.9398807552169592,0.9411045305085939,0.040625046444414635,0.040625046444414635,
42,AFT + Cox + Simple,0.0545516491672329,0.03415208210293933,0.8425316548323187,0.8997769378243143,0.06135604747577112,0.03497302728989871,0.014230936946473724,0.4803054929502033,1.0687370314325044,-0.16925074031244342,0.024908773427717423,0.024739212456620436,0.7151243288160447,1.2093836709473427,-0.5089894945732332,0.940833057303743,0.940833057303743,0.9417768080267848,0.038144483294949676,0.038144483294949676,
42,AFT + Cox,0.0545516491672329,0.03415208210293933,0.8425316548323187,0.8997769378243143,0.06135604747577112,0.03506244677664693,0.01979923900775877,0.8664446716218192,0.8704800432609302,0.06217381877631448,0.026636708258174675,0.019390124007682807,0.844779246648837,1.015543486023565,-0.5385034456577749,0.9389284531301756,0.9389284531301756,0.9401891349983215,0.038750268067351504,0.038750268067351504,
42,Per-horizon XGBoost,0.0557460872574086,0.05071980682916419,0.551839326818784,1.1831524529757502,0.2538455389397338,0.03654491739514316,0.02876340760849417,0.7184509634971619,1.3369771152492598,-0.5409135493439929,0.026426416714353005,0.02676413649221858,0.05779476960500085,1.7778087973431744,-1.4803935883420989,0.9421165948989731,0.9421165948989731,0.9431558263518148,0.039572473788968256,0.039572473788968256,
42,RSF,0.05077302235115496,0.03201649275436361,0.24515539682158538,1.6845012537381265,-0.061735863253230765,0.027750133924554086,0.025316667356822673,0.3523421718527323,1.619665166961883,-0.7935579417852744,0.017786854637662875,0.03517074331213932,0.34455627862599203,1.897262700947642,-1.271416866702935,0.9395495197085127,0.9395495197085127,0.9412468813004471,0.032103336971123976,0.032103336971123976,
123,Full Model,0.05307305982554949,0.03913166678260928,0.33302839705285636,0.8354590321523592,-0.022130805698985803,0.034951935840866886,0.019877137652637447,0.5745375113551061,0.965651165859204,-0.024785299313355512,0.024703918431972238,0.030645171440646962,0.5485391056472148,1.0503985856515292,0.08336787585903087,0.9395909241470686,0.9395909241470686,0.9412537795358509,0.037576304699462874,0.037576304699462874,
123,AFT + Cox + Simple,0.05793423071476464,0.04054627288768217,0.6264898905393745,0.8624255332570007,0.02840554715978587,0.03709224761717018,0.015947645052150607,0.5237291133092404,0.9787894743654344,0.021880073835259826,0.027893064625384562,0.01717684118447886,0.7868471690239444,1.0282537192970878,-0.10497913297031174,0.9418267638290825,0.9418267638290825,0.943329846406887,0.04097318098577312,0.04097318098577312,
123,AFT + Cox,0.05793423071476464,0.04054627288768217,0.6264898905393745,0.8624255332570007,0.02840554715978587,0.034339927378873585,0.019060440870984352,0.7428525785336034,0.8716935031843288,0.0997841493569167,0.025492350038080598,0.02242897780133174,0.6178382615908705,0.8938565276737515,-0.04150271154872593,0.9393424975157337,0.9393424975157337,0.9410476191584924,0.03925550271057294,0.03925550271057294,
123,Per-horizon XGBoost,0.06253285810672549,0.06136135726647323,0.842107097307841,1.084481998120445,0.06736065067872662,0.035152537493295034,0.030366803277093835,0.7443967461585999,1.2610372349732042,-0.31027109400243014,0.02394206455352813,0.040167592230241723,0.6961386203765869,1.48797890352318,-0.599340899714716,0.9383073865518383,0.9383073865518383,0.9396191839454759,0.040542486717849546,0.040542486717849546,
123,RSF,0.04903447390257067,0.032044024503030746,0.23730323172850065,1.7412213599505872,-0.16421199975759926,0.028570344408233778,0.024299929119329742,0.48562103168653314,1.446343937018474,-0.555324777008579,0.017846837105252547,0.03618215373692816,0.45820356911140625,1.6800389530295863,-0.9633510058349919,0.9429446836700894,0.9429446836700894,0.9443389554725411,0.031817218472019,0.031817218472019,
