"model","c_index_mean","c_index_sd","ibs_mean","ibs_sd"
"Random Survival Forest","0.941006955945677","0.00135892369822663","0.0318263110969658","0.000164151423255947"
"Per-horizon XGBoost","0.940352765816495","0.00146023305826621","0.0386707439362287","0.00148484782827734"
"AFT + Cox + Simple","0.93853097052004","0.00343489685060907","0.0400968550137267","0.00147944158314179"
"Full Model (prototype)","0.938257701225571","0.00312944705862775","0.0405720964965437","0.00184642201290337"
"AFT + Cox","0.937711162636635","0.00270203221553734","0.0402121717738388","0.00185351753973114"
