"role","model","c_index","uno_c","ibs","brier_12h","brier_24h","brier_48h"
"Baseline","ETA-only (LR)","0.907502484266313",,"0.0454653248001222","0.0701616569521285","0.0381315724367035","0.0281027450115347"
"Lean variants","AFT Only","0.93839019542895",,"0.0387502680673515","0.0545516491672329","0.0350624467766469","0.0266367082581747"
"Lean variants","AFT + Cox","0.938928453130176","0.940189134998321","0.0387502680673515","0.0545516491672329","0.0350624467766469","0.0266367082581747"
"Lean variants","AFT + Cox + Simple","0.940833057303743","0.941776808026785","0.0381444832949497","0.0545516491672329","0.0349730272898987","0.0249087734277174"
"External comparators","Per-horizon XGBoost","0.942116594898973","0.943155826351815","0.0395724737889683","0.0557460872574086","0.0365449173951432","0.026426416714353"
"External comparators","Random Survival Forest","0.939549519708513","0.941246881300447","0.032103336971124","0.050773022351155","0.0277501339245541","0.0177868546376629"
"Prototype","Full Model (prototype)","0.939880755216959","0.941104530508594","0.0406250464444146","0.060205070853781","0.0347372107248746","0.0269328577545882"
